18,23,2,1
19,17,3,1
21,10,3,2
32,38,2,1
34,24,2,2
35,9,0,1
40,13,0,3
9,40,3,1
10,34,3,2
13,12,2,1
17,35,1,0
24,21,3,0
31,32,0,1
36,18,1,1
38,7,5,4
1,19,0,1
23,2,0,4
23,10,2,0
17,21,0,1
1,32,3,1
7,2,1,1
9,36,2,1
10,35,0,1
23,17,0,0
31,24,0,2
34,12,1,1
38,13,0,4
40,21,2,2
12,40,4,0
13,31,1,1
21,19,1,1
24,9,0,1
32,23,1,1
35,7,1,1
36,38,1,2
2,1,1,1
17,10,3,0
18,34,5,2
38,32,2,0
2,10,1,0
9,13,1,1
19,34,1,1
21,12,3,1
24,36,1,0
31,38,3,1
35,32,7,2
40,18,2,1
7,17,1,2
23,1,2,1
10,13,1,0
19,2,0,0
10,7,4,0
12,19,0,2
18,21,0,2
32,2,2,0
34,23,1,1
36,31,1,0
38,9,0,0
1,35,2,1
13,24,0,2
17,40,4,1
2,12,2,0
7,21,0,4
9,32,1,1
19,24,2,1
23,31,1,0
34,13,2,1
36,35,1,1
1,10,3,0
18,17,2,1
38,40,2,1
10,19,0,3
13,36,4,2
17,9,0,1
21,38,7,1
24,7,2,0
32,34,1,2
40,1,1,3
12,18,3,0
35,23,2,3
31,2,0,1
7,32,1,2
18,13,1,1
34,40,2,1
36,12,0,0
2,17,1,0
19,35,2,0
23,21,3,4
9,10,2,1
38,24,2,1
40,31,0,2
10,23,2,1
12,38,1,2
13,7,4,0
21,34,4,0
24,18,0,2
31,9,1,0
32,36,2,0
35,2,2,4
17,1,0,4
40,19,1,2
18,35,0,1
7,12,4,4
13,19,0,0
2,18,2,2
9,23,1,1
31,34,0,2
32,21,1,3
35,40,2,0
38,10,5,0
24,17,2,2
36,1,2,3
12,32,2,0
21,9,3,2
34,7,0,1
2,34,1,1
9,19,2,0
13,1,0,1
24,10,2,0
32,18,1,2
35,12,1,1
36,21,2,3
38,23,0,1
7,40,3,0
31,17,0,3
1,38,2,1
23,24,2,2
17,36,3,1
19,18,0,2
1,9,2,1
10,31,4,1
12,24,0,0
18,7,3,0
21,35,3,1
23,36,1,1
34,38,1,0
40,2,2,2
19,32,0,0
17,13,1,1
1,31,3,3
2,21,0,1
7,19,1,0
9,12,4,0
13,23,0,2
24,1,4,2
31,18,4,0
32,40,2,0
35,34,3,1
36,10,1,0
38,17,0,0
8,20,4,0
9,38,4,2
10,23,1,3
12,32,2,2
17,13,2,0
18,2,0,0
19,7,1,0
34,1,1,0
35,16,3,1
21,24,2,0
1,19,2,0
7,9,2,0
16,21,1,1
23,35,1,1
13,8,3,0
20,34,4,2
24,12,3,2
32,10,1,2
38,18,0,1
1,8,5,3
7,18,0,0
13,12,2,2
16,34,1,0
20,10,1,2
23,17,1,2
24,35,2,0
32,19,3,3
38,21,2,2
2,9,1,1
17,20,1,2
21,7,6,0
34,38,1,1
35,13,3,2
8,32,1,1
9,1,2,2
10,24,0,2
12,23,3,3
18,16,2,1
19,2,3,1
7,1,1,1
10,17,0,0
16,2,1,2
18,32,1,0
19,20,3,2
21,34,3,0
23,13,1,2
24,9,0,0
12,8,2,2
35,38,1,0
1,10,2,1
2,7,2,0
8,35,1,0
13,21,1,3
17,16,1,2
32,24,2,0
34,12,2,1
9,18,0,2
20,23,1,1
38,19,1,1
7,32,0,1
10,38,0,3
12,17,1,1
16,1,1,1
19,34,1,1
21,9,3,3
23,2,1,1
24,8,0,1
35,20,0,0
18,13,1,1
2,12,4,1
8,10,2,2
13,16,0,3
17,35,4,3
20,24,0,1
32,23,1,3
38,7,1,1
1,21,1,0
9,19,3,0
34,18,0,0
1,2,1,0
10,35,2,1
13,32,1,1
16,38,1,1
17,8,3,1
18,21,0,3
20,7,2,0
34,9,1,0
12,19,0,4
23,24,1,3
7,16,0,2
8,23,1,0
9,10,6,1
19,18,1,0
21,17,3,0
24,13,0,1
35,12,3,1
38,1,1,2
2,34,0,0
32,20,0,2
1,20,5,0
2,8,2,1
9,35,3,0
16,23,2,1
18,12,2,1
21,32,5,0
34,10,1,0
38,24,1,0
7,17,1,1
19,13,3,1
8,7,2,0
10,21,1,2
17,19,4,3
20,18,0,1
23,1,0,1
24,16,2,1
32,9,3,2
35,34,2,1
13,2,0,1
12,38,0,0
1,12,0,0
2,35,2,0
7,13,0,1
16,8,2,0
18,24,1,1
21,23,2,1
34,32,2,2
38,20,4,1
9,17,1,1
19,10,4,1
8,9,2,0
12,7,2,0
13,1,2,0
17,38,0,1
20,21,0,1
23,18,0,3
24,34,1,2
32,2,2,0
35,19,2,1
10,16,0,1
8,34,0,1
10,2,1,1
12,21,0,3
13,9,2,1
20,16,2,3
23,7,2,2
32,38,2,3
35,18,3,0
17,1,1,0
24,19,2,1
1,32,1,0
2,24,1,1
7,10,2,1
16,12,0,1
18,17,3,1
19,8,3,0
21,35,2,0
38,23,1,0
9,20,2,1
34,13,2,0
1,24,5,0
7,35,3,3
8,21,3,3
9,12,4,1
20,13,5,0
32,17,1,0
34,23,1,0
38,2,1,1
10,18,1,0
19,16,0,1
2,20,2,2
12,10,1,0
13,38,1,1
16,32,3,1
17,34,2,0
18,8,3,1
23,9,1,0
24,7,2,1
21,19,0,1
35,1,1,1
10,32,1,1
8,13,1,0
9,7,3,0
12,24,2,0
17,2,1,2
18,38,2,1
19,1,4,0
21,16,2,0
34,20,1,0
35,23,0,0
1,18,6,1
2,21,0,1
7,34,1,4
13,10,1,2
16,9,2,2
20,12,0,0
23,19,1,0
24,17,2,1
38,8,5,0
32,35,2,0
1,34,2,2
16,35,3,0
20,8,1,4
23,10,1,1
24,21,1,1
32,12,1,0
8,1,1,0
9,2,1,0
10,20,1,1
12,13,1,0
17,23,1,1
18,7,1,2
19,32,2,1
21,38,3,1
34,16,4,1
35,24,4,2
1,9,1,1
2,19,0,3
7,21,0,3
13,35,0,0
20,17,0,4
23,12,4,0
24,10,3,1
32,8,0,0
38,34,0,2
16,18,2,0
9,16,4,1
10,13,1,3
12,20,1,1
17,24,1,3
18,1,0,0
19,23,0,0
21,2,2,0
35,32,0,0
34,7,0,0
8,38,1,1
2,17,1,2
1,7,2,0
8,12,2,1
9,24,3,1
13,23,2,2
17,10,1,0
20,19,1,1
32,18,1,0
34,21,0,1
38,35,0,0
7,2,0,3
10,1,0,1
12,34,1,0
16,17,1,2
18,9,2,1
19,38,3,0
21,13,1,0
23,20,1,1
35,8,0,0
13,17,2,2
1,16,1,0
2,23,1,1
9,21,1,1
13,18,2,1
17,12,0,0
20,35,0,1
32,7,2,0
34,19,1,1
8,24,2,0
38,10,1,1
7,38,1,2
10,8,2,2
12,2,1,0
16,13,2,0
18,34,2,0
23,32,0,1
24,20,0,1
35,17,1,2
21,1,6,1
1,38,3,0
10,9,0,0
12,35,2,1
13,24,1,1
17,21,1,1
18,19,2,0
20,32,0,1
23,8,0,0
16,7,3,1
34,2,1,1
38,9,0,2
2,16,2,1
7,20,2,2
8,17,1,2
9,34,2,4
21,18,2,0
24,23,1,2
32,13,1,0
35,10,3,0
38,16,0,1
2,1,0,0
19,12,1,1
1,35,2,0
7,24,2,2
9,23,2,1
10,12,2,0
19,21,2,0
20,2,1,3
34,17,0,2
38,13,0,2
8,18,2,0
32,16,0,3
2,18,2,1
2,38,2,2
12,9,0,4
17,32,2,0
18,10,1,3
13,20,3,1
23,34,0,0
16,19,1,1
21,8,2,1
35,7,2,1
20,1,0,4
7,8,2,0
19,17,1,2
1,23,0,3
2,13,2,1
9,32,1,0
16,24,1,0
18,20,1,2
21,10,4,2
34,35,2,3
38,12,3,1
10,34,1,0
12,18,2,0
13,19,2,3
23,16,1,2
24,38,2,1
8,2,3,3
35,9,0,3
1,13,4,1
2,32,0,0
7,12,2,0
9,8,0,1
16,10,2,0
18,23,0,3
21,20,1,1
34,24,1,1
38,17,0,2
19,35,3,1
10,19,0,2
12,1,1,2
13,7,2,1
17,9,2,0
20,38,1,0
23,21,0,2
24,18,1,0
32,34,0,1
35,2,0,0
8,16,2,1
7,19,0,2
24,32,1,1
1,17,2,1
2,10,3,2
7,23,1,1
9,13,2,1
18,35,4,2
19,24,3,0
21,12,0,1
34,8,3,2
38,32,3,0
16,20,2,1
19,9,2,2
17,7,6,1
32,21,2,1
24,1,0,0
8,19,0,4
10,7,0,0
12,16,1,1
13,34,2,2
17,18,3,1
20,9,1,2
23,38,2,1
24,2,3,0
32,1,3,2
35,21,3,1
8,13,1,2
12,5,2,1
17,32,2,0
18,6,0,5
19,38,2,1
23,1,0,4
34,16,1,0
35,2,0,0
9,24,1,1
21,14,3,2
13,35,1,1
1,17,1,2
6,23,1,0
16,12,3,1
5,21,2,2
14,34,2,0
1,18,4,0
5,35,2,1
13,23,2,0
14,12,0,0
16,8,0,1
32,9,0,2
38,17,0,0
2,21,1,1
24,34,1,1
6,19,2,1
9,1,1,1
12,38,0,0
17,6,0,0
18,16,1,1
19,2,1,3
21,13,4,1
23,24,1,4
34,5,1,0
8,14,1,1
35,32,2,0
6,32,0,1
12,18,2,3
13,19,1,3
14,1,1,3
23,38,2,0
24,21,4,3
2,34,0,0
8,17,0,2
16,5,1,1
35,9,2,3
18,23,1,2
5,6,1,1
34,35,1,2
1,6,1,1
5,13,1,0
18,14,0,0
19,35,1,0
21,16,4,0
34,8,2,2
9,23,2,2
17,12,3,0
38,24,3,0
32,2,1,3
24,18,1,0
6,34,0,2
8,18,2,0
12,1,0,2
13,38,5,0
23,32,1,3
35,21,3,5
2,5,2,0
14,9,1,1
16,17,1,2
24,19,0,2
6,24,0,4
8,23,0,0
9,18,2,0
16,13,0,0
19,17,1,1
32,1,0,2
34,21,1,3
2,14,2,0
5,38,7,1
35,12,3,1
1,5,3,3
12,8,1,1
13,2,3,2
18,19,1,4
21,6,1,2
38,32,2,0
14,16,1,1
17,9,0,0
24,35,0,2
23,34,2,0
2,8,1,0
32,16,3,3
38,9,2,1
2,6,3,2
8,19,0,2
13,24,1,3
14,32,2,1
21,17,1,1
34,1,1,1
35,23,2,1
12,9,1,1
16,38,2,3
5,18,0,0
6,13,2,2
18,34,1,0
23,12,5,1
24,2,3,0
32,5,1,2
38,14,0,2
1,8,2,4
9,16,2,1
17,35,2,1
19,21,3,1
2,23,0,0
5,19,1,1
12,32,1,0
14,24,3,1
21,18,2,0
35,1,1,1
13,9,0,0
16,6,1,2
34,17,2,0
8,38,4,4
6,14,0,0
9,5,0,0
18,13,0,0
24,12,1,0
32,8,1,0
38,35,0,1
1,21,3,1
17,2,1,1
19,34,1,0
23,16,0,0
2,18,0,2
5,23,0,1
8,24,1,1
12,19,0,1
16,1,0,2
21,9,0,3
34,38,1,0
13,32,2,0
14,17,0,0
35,6,3,2
9,8,0,1
38,2,1,1
8,35,3,1
12,6,1,0
14,13,2,0
18,32,0,4
19,23,2,0
21,38,0,1
1,2,3,2
5,17,1,2
16,24,0,1
34,9,0,0
19,14,0,0
21,12,5,0
6,8,0,0
13,12,1,0
23,21,0,1
24,5,2,1
32,34,2,0
35,14,4,0
38,1,1,1
9,19,4,0
17,18,2,2
2,16,2,1
1,24,1,3
17,13,3,2
8,5,0,2
12,2,3,1
17,24,3,4
18,38,1,1
21,32,6,1
34,13,1,0
35,16,1,2
9,6,5,1
19,1,1,2
1,9,2,1
2,19,1,2
5,34,0,3
6,17,0,3
13,21,0,2
14,8,0,0
16,18,2,0
24,23,3,0
32,35,1,0
38,12,4,0
1,23,2,1
2,35,1,1
5,12,0,1
6,18,2,2
13,8,0,3
16,34,5,0
24,9,1,2
32,17,0,1
38,19,1,1
14,21,2,3
8,16,3,2
9,32,2,4
17,38,3,0
19,6,1,1
23,13,1,0
34,2,1,1
35,5,1,0
12,14,0,1
21,24,3,1
32,19,2,0
2,12,2,1
5,8,4,1
6,9,2,2
13,34,1,0
14,23,2,1
16,35,2,1
24,17,3,1
38,18,1,0
1,19,1,1
32,21,1,3
12,16,1,3
18,24,0,0
19,32,1,1
21,5,2,1
23,6,1,1
34,14,1,1
35,13,1,1
9,38,5,1
17,1,1,1
8,2,1,2
21,19,0,1
18,1,1,3
6,21,0,4
8,12,1,0
34,23,0,1
2,13,0,0
5,1,2,3
9,17,2,0
16,14,1,0
19,18,1,0
32,38,2,0
35,24,1,3
1,32,1,1
12,35,1,0
13,16,1,2
14,2,0,0
18,9,2,3
21,34,4,1
24,6,3,2
38,5,2,0
17,19,0,4
23,8,0,0
2,9,1,1
6,38,1,0
12,34,0,1
14,5,2,0
16,19,0,6
23,17,2,2
24,32,3,1
35,18,2,1
8,21,0,2
13,1,0,1
23,14,2,1
1,14,4,1
18,12,0,3
19,13,1,1
21,2,1,0
32,6,0,0
38,23,1,0
17,8,0,0
34,24,0,1
2,38,2,1
6,5,1,1
8,9,2,1
14,19,0,2
16,32,1,3
23,18,1,0
24,1,0,2
35,34,2,1
12,21,2,2
13,17,0,0
1,12,1,0
5,2,3,0
34,6,1,0
9,14,3,2
17,16,2,0
19,24,3,0
21,35,4,0
32,23,1,1
38,13,1,0
18,8,1,1
5,16,2,1
9,35,4,0
6,12,1,3
9,34,4,0
13,14,2,1
23,19,1,2
24,16,2,2
32,18,2,2
38,21,3,5
2,1,1,2
17,5,3,1
35,8,0,1
8,6,1,2
12,13,3,4
16,2,0,0
18,17,0,2
21,23,0,1
34,32,1,1
14,35,0,2
19,9,1,0
24,13,6,2
1,34,3,0
6,2,3,2
9,12,2,1
17,21,3,4
18,5,2,1
19,8,2,0
23,35,1,1
32,14,1,1
38,16,3,1
5,32,2,0
8,1,0,3
12,23,0,1
13,6,3,1
14,38,0,1
16,9,0,0
34,18,2,1
35,17,2,1
2,24,1,1
1,35,2,1
6,16,4,1
9,13,3,0
18,21,0,1
23,2,2,1
32,12,2,0
38,8,2,0
17,34,2,0
24,14,1,1
5,9,0,0
2,17,0,1
8,32,1,1
12,24,2,3
13,18,2,2
34,19,0,1
35,38,1,1
6,35,1,1
9,21,0,3
17,14,0,1
18,2,2,2
19,12,2,0
23,5,1,3
24,8,3,0
32,13,0,1
38,34,3,0
1,16,2,0
5,24,2,2
14,6,3,0
1,38,2,0
16,23,1,0
2,32,2,1
8,34,2,2
12,17,0,1
14,18,0,0
16,21,0,1
23,9,0,2
24,38,3,1
35,19,1,0
13,5,1,2
6,1,0,2
19,5,4,3
21,1,0,1
1,13,4,3
5,14,3,0
9,2,1,3
17,23,1,0
18,35,2,1
19,16,5,0
21,8,0,0
32,24,3,1
34,12,1,1
38,6,2,1
5,34,0,0
8,9,2,3
13,35,2,2
14,6,4,1
17,20,3,0
21,37,1,0
32,22,0,0
1,4,2,0
2,19,0,1
24,38,4,0
9,21,2,2
4,5,0,1
6,8,1,2
19,32,3,0
20,24,1,0
22,14,2,2
34,13,0,1
35,2,1,0
37,17,1,3
38,1,2,2
1,37,5,2
8,35,0,1
2,20,1,0
5,19,2,2
13,4,1,1
17,34,0,1
32,9,1,1
4,17,2,1
20,13,3,1
22,5,1,0
34,21,1,1
35,32,2,1
37,14,1,0
38,8,0,2
6,2,1,0
9,1,1,1
19,24,2,2
21,22,1,0
1,20,2,1
22,34,3,0
2,8,2,0
5,9,2,3
14,35,3,2
19,4,2,2
21,6,0,1
24,17,0,2
32,13,1,0
38,37,0,1
6,19,2,3
8,1,0,3
9,24,3,0
13,22,2,1
17,21,1,0
34,14,0,3
37,32,1,0
20,5,2,2
35,38,3,2
4,2,3,0
1,6,2,1
19,37,2,0
21,35,1,0
22,4,1,0
24,34,2,0
32,8,0,0
38,20,0,0
2,13,3,2
5,17,1,0
14,9,0,0
4,24,0,2
6,32,1,1
8,21,1,3
9,38,2,3
13,14,2,0
17,1,1,4
20,19,0,3
34,2,1,0
35,22,0,3
37,5,0,2
22,6,2,0
24,37,2,1
32,20,2,0
38,4,1,2
1,34,3,1
2,17,0,0
5,35,1,2
14,8,1,0
19,9,1,0
21,13,3,0
5,24,5,2
13,1,2,1
14,21,1,1
17,19,0,1
20,9,0,3
34,38,0,1
37,4,1,1
8,22,1,0
35,6,3,1
2,32,0,1
14,38,0,1
1,5,1,2
4,20,0,2
9,37,2,0
19,35,2,1
21,2,1,1
22,17,2,2
24,8,2,1
32,14,4,2
38,13,0,1
6,34,1,1
4,6,3,1
19,38,2,0
21,32,2,1
37,20,1,2
5,2,0,0
8,34,1,1
14,1,0,1
17,13,0,1
35,9,0,0
24,22,2,0
1,24,1,0
2,14,3,1
6,37,1,1
9,4,3,0
13,8,1,0
20,21,3,1
22,19,1,0
32,5,1,1
34,35,2,0
38,17,3,4
1,35,3,0
9,22,1,0
20,8,0,1
24,32,2,1
37,2,0,0
4,14,0,0
5,13,0,1
17,6,2,4
19,34,0,0
38,21,1,1
2,38,4,1
6,9,1,1
13,37,1,0
14,19,3,2
21,24,5,3
22,20,3,1
32,1,3,2
34,4,0,1
8,5,3,1
35,17,2,0
1,2,3,1
4,35,1,1
5,14,2,1
9,34,3,0
20,6,2,0
37,22,1,0
17,8,1,2
19,21,1,2
24,13,2,1
38,32,0,1
2,24,0,1
6,5,1,1
8,19,2,0
13,9,1,3
14,17,1,0
21,1,2,0
22,38,2,2
32,4,2,0
35,37,3,1
34,20,0,3
2,37,2,1
8,20,2,2
13,5,2,1
21,38,3,0
22,9,1,1
32,24,1,1
14,4,0,1
34,19,2,1
35,1,1,1
6,17,0,3
1,22,2,0
4,8,1,1
9,2,2,0
17,32,1,1
24,14,2,0
37,34,2,2
38,6,1,1
5,21,1,0
19,13,0,0
20,35,2,3
4,13,1,1
6,24,4,3
9,32,0,0
19,5,1,1
20,2,3,1
22,21,3,1
34,17,1,2
35,8,2,2
37,1,1,2
38,14,1,1
2,22,1,0
5,38,2,2
8,37,1,0
13,6,0,0
14,20,0,1
17,9,2,0
21,4,2,0
32,34,2,1
1,19,1,1
24,35,2,1
1,9,3,2
2,6,2,0
5,22,1,0
13,20,2,2
17,4,2,0
21,34,2,1
24,19,1,0
32,35,1,0
6,14,0,0
9,8,4,1
19,2,1,1
20,17,2,1
22,32,2,2
34,5,0,0
37,21,1,3
38,24,2,2
4,1,0,4
35,13,4,3
2,35,0,1
5,4,1,1
8,6,1,1
13,34,2,1
17,37,0,0
21,9,2,1
24,20,2,0
32,19,0,1
1,38,3,1
14,22,1,0
8,38,4,2
24,6,1,0
6,13,1,2
9,17,3,2
22,2,2,5
34,32,0,1
19,1,2,2
20,14,4,1
35,24,0,1
37,8,0,1
38,5,2,1
1,14,2,1
6,4,4,2
9,35,1,1
13,17,2,0
20,37,1,2
32,21,0,2
34,8,1,3
2,5,3,0
38,19,0,3
4,21,0,1
4,9,1,3
5,32,1,0
8,13,2,1
14,2,2,1
17,38,1,0
19,22,1,1
35,34,4,1
37,6,1,1
21,20,1,1
24,1,1,1
14,37,3,0
6,21,1,1
8,2,3,0
9,5,1,2
13,32,2,1
17,24,0,3
20,1,1,5
34,22,1,3
4,19,2,1
37,38,1,2
35,14,1,1
5,20,1,0
14,34,1,0
22,13,1,1
24,9,2,1
32,37,1,0
38,35,2,0
1,8,2,0
2,4,0,2
21,17,2,1
22,24,1,0
19,6,2,0
2,21,0,1
5,1,2,0
8,24,0,2
13,38,0,0
14,32,2,2
17,22,2,3
34,6,0,2
20,4,1,0
35,19,2,3
37,9,0,2
4,37,1,0
9,20,5,0
21,14,3,0
22,8,1,1
24,5,5,1
32,2,2,2
38,34,2,0
1,13,2,1
19,17,3,1
6,35,1,0
2,1,1,1
6,20,2,0
8,17,1,6
21,19,4,0
22,37,3,0
32,38,1,1
34,9,1,2
35,4,2,1
13,24,2,1
14,5,0,4
4,34,2,0
5,8,1,0
9,6,1,0
17,35,2,2
19,14,2,0
20,22,0,0
24,21,2,6
37,13,1,2
38,2,2,2
1,21,2,2
35,20,0,2
2,9,2,1
6,38,1,0
8,4,0,2
13,19,1,2
14,24,2,1
21,5,3,1
22,1,0,2
32,17,3,2
34,37,1,2
4,32,3,2
5,6,0,0
9,13,4,1
19,8,2,1
20,34,3,0
24,2,1,1
37,35,2,3
38,22,1,0
17,14,2,0
4,22,3,0
6,1,2,2
8,32,2,1
9,14,1,1
13,2,2,1
17,5,2,3
34,24,0,1
37,19,0,6
20,38,0,1
35,21,0,2
2,34,1,0
5,37,1,1
14,13,2,0
19,20,1,2
21,8,4,1
22,35,5,1
24,4,1,0
32,6,0,0
38,9,1,0
1,17,2,3
1,32,6,1
4,38,2,2
6,22,2,1
8,14,0,1
9,19,2,1
13,21,1,2
17,2,3,1
20,32,0,1
34,1,0,4
35,5,0,4
37,24,2,2
1,13,2,1
4,35,1,0
5,41,5,1
14,23,3,2
18,32,2,2
21,6,4,0
27,2,2,1
8,20,0,3
17,24,2,2
19,9,1,2
6,5,2,2
9,18,2,1
13,14,3,1
20,27,1,1
24,21,1,2
32,4,0,0
35,17,2,1
41,8,0,4
2,19,0,0
23,1,0,4
5,20,2,3
8,13,2,2
17,32,0,0
18,23,0,0
27,6,4,0
1,2,2,0
19,35,0,0
21,41,1,0
2,18,3,1
6,8,0,0
9,5,2,2
13,19,0,3
23,17,2,3
24,4,0,1
35,14,0,3
41,27,0,0
20,1,1,2
32,21,1,0
1,27,1,1
5,19,1,3
6,23,2,0
8,21,0,2
9,35,4,2
13,24,2,2
32,41,2,0
4,14,2,2
20,2,4,1
18,17,4,0
2,8,2,1
14,20,2,2
17,4,0,2
19,18,2,1
24,6,0,0
27,5,1,2
35,32,1,3
41,9,0,5
21,1,0,0
23,13,1,0
1,24,3,2
4,27,2,0
6,41,1,1
9,2,1,0
18,21,1,4
32,23,0,1
5,14,0,2
8,19,3,2
13,17,4,0
20,35,0,0
14,18,2,0
17,5,2,1
19,1,1,2
21,4,3,0
24,32,1,0
27,8,1,2
35,13,3,0
41,20,1,0
2,6,1,1
23,9,1,2
4,9,0,0
1,9,2,1
14,41,0,0
17,21,0,1
20,6,6,2
23,24,0,1
27,19,1,0
4,2,0,0
13,32,0,0
18,35,1,2
5,8,0,1
14,24,2,3
2,13,0,0
6,4,0,1
9,20,1,0
19,17,3,1
21,14,1,3
24,27,3,0
32,5,2,0
41,18,4,3
8,1,1,1
35,23,0,0
13,9,0,1
17,1,1,4
21,27,3,0
23,41,2,0
24,2,1,1
32,20,0,2
35,6,0,1
14,19,1,2
18,5,2,0
4,8,1,2
1,35,2,1
2,23,0,2
6,32,0,0
8,14,3,1
27,17,6,1
41,4,1,1
9,24,5,0
19,21,1,2
20,18,0,3
5,13,2,1
4,1,0,3
13,41,2,0
17,6,0,2
18,8,1,1
21,5,2,1
23,19,0,0
24,20,3,0
32,9,0,1
35,2,2,1
14,27,2,0
2,32,1,0
5,35,1,0
6,13,2,0
8,17,0,1
27,18,0,2
41,24,1,1
1,14,0,0
9,21,1,0
19,4,3,1
20,23,0,1
4,5,0,4
14,6,2,1
17,9,1,1
18,1,1,1
21,2,4,0
23,27,0,0
24,19,1,1
35,41,5,2
13,20,0,0
32,8,3,2
9,6,1,2
18,4,0,2
19,32,1,2
21,20,3,1
23,8,0,0
24,35,4,0
27,13,1,2
1,5,1,0
2,41,3,2
17,14,3,2
5,2,0,2
6,1,1,1
8,24,0,0
13,18,3,2
14,9,0,1
32,27,3,0
35,21,1,2
20,17,1,1
1,41,3,0
4,20,2,1
5,23,2,2
8,9,4,2
14,32,2,0
17,2,0,0
18,24,1,1
19,6,3,1
21,13,3,2
27,35,2,0
2,14,3,0
6,18,2,2
9,27,3,0
13,4,1,0
20,19,2,2
23,21,0,1
24,5,0,1
35,8,0,1
41,17,3,1
32,1,0,1
2,27,2,1
6,21,1,2
9,19,0,1
13,1,1,1
20,8,1,1
23,14,2,1
24,17,1,0
32,18,0,0
35,4,4,1
41,5,2,2
1,23,4,1
4,32,2,1
5,6,3,4
8,41,2,0
14,13,2,1
17,35,0,1
19,2,1,0
27,20,4,2
18,9,0,4
21,24,0,0
6,27,1,0
13,8,0,1
20,5,1,1
23,18,3,3
32,17,2,1
35,19,2,1
41,21,1,0
2,1,0,2
9,4,0,0
24,14,3,1
41,19,1,1
4,24,1,1
8,6,1,2
14,35,2,1
17,23,0,3
18,2,0,5
19,13,0,0
21,32,3,2
27,41,0,0
1,20,2,1
5,9,2,3
2,17,2,0
6,19,2,2
13,21,3,4
23,5,0,1
24,18,3,1
32,14,0,0
35,27,4,3
41,1,1,3
9,8,1,0
20,4,0,0
1,32,2,0
17,41,4,1
18,6,1,1
4,13,3,0
5,24,1,1
8,35,2,4
14,2,1,2
19,20,2,1
21,23,2,3
27,9,0,2
6,20,1,3
8,5,3,2
9,1,1,2
21,17,1,1
24,23,2,1
32,13,3,3
41,14,2,1
2,4,2,2
35,18,4,4
1,8,2,1
5,32,1,1
13,2,2,0
14,21,1,1
18,41,0,0
20,9,0,1
17,19,2,2
27,24,1,1
4,23,3,1
4,6,2,0
23,35,1,0
4,18,0,1
5,1,0,2
6,9,0,2
8,23,1,0
13,27,1,0
14,17,2,0
20,21,4,1
32,19,2,0
35,24,1,0
41,2,0,4
19,27,3,0
1,6,2,1
2,5,0,2
9,14,2,1
18,13,1,1
19,41,1,0
21,35,3,0
23,4,5,3
24,8,3,1
27,32,1,0
17,20,2,1
4,17,4,1
5,27,1,2
8,2,1,2
9,41,5,2
13,23,1,1
20,14,0,0
32,35,1,0
1,21,1,1
6,24,1,0
18,19,0,0
14,4,0,0
23,6,2,0
24,13,4,2
35,9,0,1
41,32,1,4
2,20,1,1
19,5,4,0
17,18,3,2
1,19,4,2
13,35,3,1
4,21,1,2
5,17,1,2
6,2,2,2
8,27,1,1
9,23,0,0
18,14,0,2
20,41,3,3
24,1,0,0
2,9,3,2
14,5,3,4
19,8,0,1
23,32,3,1
27,4,3,1
35,20,1,1
41,6,1,2
17,13,1,1
21,18,1,0
1,17,5,0
5,18,1,0
6,35,2,0
8,4,1,1
9,13,0,0
19,14,0,0
20,32,1,3
27,21,1,0
41,23,2,0
2,24,0,0
21,8,2,0
13,5,0,1
14,8,2,0
18,20,1,1
21,19,0,1
23,2,1,2
32,6,1,2
4,41,2,2
17,27,1,2
24,9,2,1
35,1,2,2
1,4,0,0
5,21,1,0
8,18,2,2
9,32,4,0
20,24,1,0
27,14,1,1
41,13,2,1
2,35,1,0
6,17,4,1
19,23,2,0
27,1,1,1
4,19,0,3
13,6,1,2
17,8,3,3
18,27,3,1
21,9,1,1
23,20,2,1
32,2,1,1
35,5,1,0
14,1,0,1
24,41,1,1
32,24,3,3
1,18,2,1
2,21,0,2
5,4,1,1
6,14,0,2
8,32,2,1
9,17,1,0
19,24,1,1
20,13,5,1
27,23,5,1
41,35,0,2
2,32,2,0
5,37,1,1
6,8,4,1
20,14,1,1
23,24,2,2
25,11,1,1
27,4,1,1
35,19,1,1
9,21,1,0
13,1,1,4
4,9,0,1
8,27,2,1
11,13,1,3
14,6,2,0
19,20,2,1
21,25,2,1
24,35,0,1
32,5,3,2
1,23,5,3
37,2,1,1
4,20,1,0
11,9,0,2
1,5,3,0
8,2,3,0
14,23,0,2
24,25,2,2
32,6,1,2
37,35,1,1
2,24,4,2
5,21,1,1
9,32,2,1
13,37,2,1
20,8,4,0
23,11,2,1
25,1,1,4
35,4,1,0
6,19,1,0
21,13,0,0
27,14,4,3
2,9,0,0
6,21,2,2
14,1,0,3
19,37,3,0
20,13,0,1
23,4,2,1
24,5,3,0
27,11,3,1
35,25,0,0
8,32,0,0
1,6,2,2
4,8,1,1
5,27,1,0
11,20,1,2
25,2,0,0
37,14,1,1
9,35,0,0
13,23,1,0
32,24,1,2
21,19,2,1
2,11,1,1
6,4,1,1
14,32,1,0
19,25,3,0
20,1,0,1
23,9,0,1
24,37,3,1
35,21,0,1
27,13,0,1
8,5,1,0
1,8,4,0
5,2,2,2
13,35,0,1
25,27,2,2
32,20,0,0
37,6,2,1
4,24,2,2
9,19,1,0
21,23,1,1
11,14,2,0
1,2,3,1
